institution,state,type,fa_policy,applicants_2013-14,applicants_2014-15,fa_2013-14,fa_2014-15,admitted_2013-14,admitted_2014-15,fa_average,percentage
The Citadel,SC,public 4yr,NNB,28,28,312343,254896,9,7,36414,25
"Albany College of Pharmacy and Health
Sciences",NY,private 4yr,NB & NNB,25,72,360700,252250,43,37,6818,51
Calumet College of St. Joseph,IN,private 4yr,NB & NNB,N/A,1,109545,251032,15,30,8368,N/A
Franklin College,IN,private 4yr,NNB,10,20,172410,248880,7,11,22625,55
California State University: Fullerton,CA,public 4yr,NB,1469,1758,249016,246568,98,98,2516,6
Bryn Athyn College,PA,private 4yr,NB & NNB,20,16,304879,245808,N/A,N/A,N/A,N/A
Edgewood College,WI,private 4yr,NNB,69,68,203135,245339,15,19,12913,28
Covenant College,GA,private 4yr,NB & NNB,18,24,256018,244260,19,17,14368,71
Berry College,GA,private 4yr,NNB,14,15,245540,243325,14,15,16222,100
University of Rio Grande,OH,private 4yr,NB & NNB,14,15,116740,240672,20,15,16045,100
Ashland University,OH,private 4yr,NNB,82,80,432613,239690,39,68,3524,85
Northern Arizona University,AZ,public 4yr,NNB,815,1123,237864,N/A,51,N/A,4664,6
Alfred University,NY,private 4yr,NNB,53,N/A,236728,N/A,33,N/A,7174,N/A
Georgia Regents University,GA,public 4yr,NB,60,54,177556,235818,27,33,7146,61
Salve Regina University,RI,private 4yr,NNB,30,33,269750,234420,14,13,18032,39
York County Community College,ME,public 2yr,NB & NNB,8,5,312566,234357,N/A,1227,191,N/A
Dominican College of Blauvelt,NY,private 4yr,NNB,N/A,18,234000,N/A,14,N/A,16714,N/A
Endicott College,MA,private 4yr,NNB,41,35,240920,233934,20,17,13761,49
Edinboro University of Pennsylvania,PA,public 4yr,NB & NNB,98,101,78881,233835,11,21,11135,21
Millersville University of Pennsylvania,PA,public 4yr,NB,37,23,136170,233483,18,24,9728,N/A
Asbury University,KY,private 4yr,NB & NNB,21,25,231895,N/A,19,N/A,12205,90
University of North Carolina at Wilmington,NC,public 4yr,NNB,84,78,425084,230887,N/A,84,2749,N/A
Pine Manor College,MA,private 4yr,NNB,70,N/A,228186,N/A,18,N/A,12677,N/A
Northern Kentucky University,KY,public 4yr,NNB,457,396,283264,226263,106,107,2115,27
University of West Alabama,AL,public 4yr,NNB,94,115,239820,226020,105,76,2974,66
Northland College,WI,private 4yr,NB & NNB,6,9,79116,223300,6,9,24811,100
Fairmont State University,WV,public 4yr,NNB,94,86,158542,222684,18,21,10604,24
Bluffton University,OH,private 4yr,NB,11,4,221740,N/A,10,N/A,22174,91
Northeastern State University,OK,public 4yr,NNB,107,87,221258,N/A,N/A,N/A,N/A,N/A
Trevecca Nazarene University,TN,private 4yr,NNB,15,18,212220,218274,15,14,15591,78
University of Wisconsin-Whitewater,WI,public 4yr,NB & NNB,81,77,236000,215900,56,56,3855,73
New College of Florida,FL,public 4yr,NNB,5,15,24500,215696,2,11,19609,73
Alma College,MI,private 4yr,NB & NNB,5,11,206050,214970,11,11,19543,100
Bluefield College,VA,private 4yr,NNB,14,17,214235,N/A,13,N/A,16480,93
University of San Diego,CA,private 4yr,NNB,334,381,247590,212500,18,17,12500,4
Georgia Southern University,GA,public 4yr,NNB,214,229,210848,210856,32,32,6589,14
Fontbonne University,MO,private 4yr,NNB,111,87,N/A,210692,N/A,31,6797,36
Lawrence Technological University,MI,private 4yr,NNB,149,160,304212,209882,34,21,9994,13
Shippensburg University of Pennsylvania,PA,public 4yr,NB & NNB,33,28,264173,209426,N/A,21,9973,75
Deep Springs College,CA,private 2yr,NB,N/A,4,N/A,208000,N/A,4,52000,100
Kuyper College,MI,private 4yr,NB & NNB,18,2,203901,N/A,9,N/A,22656,50
Southeastern University,FL,private 4yr,NNB,24,45,138691,202813,13,36,5634,80
Texas A&M International University,TX,public 4yr,NB & NNB,124,N/A,202403,N/A,49,N/A,4131,N/A
University of Wisconsin-Stout,WI,public 4yr,NNB,183,202,283750,200835,50,45,4463,22
Cameron University,OK,public 4yr,NNB,212,209,78750,200769,250,57,3522,27
Cairn University,PA,private 4yr,NB & NNB,11,15,62600,200600,6,14,14329,93
Regis College,MA,private 4yr,NNB,18,16,N/A,200537,N/A,12,16711,75
Bethel University,MN,private 4yr,NB & NNB,12,12,84020,200430,5,9,22270,75
Hardin-Simmons University,TX,private 4yr,NB & NNB,33,26,213311,199175,21,20,9959,77
University of Virginia's College at Wise,VA,public 4yr,NB & NNB,1,N/A,179403,197686,9,10,19769,N/A
University of Illinois at Chicago,IL,public 4yr,NNB,327,379,357813,197326,83,37,5333,10
Henderson State University,AR,public 4yr,NNB,30,N/A,194628,N/A,21,N/A,9268,N/A
LIU Brooklyn,NY,private 4yr,NNB,106,97,N/A,192950,N/A,30,6432,31
Simpson University,CA,private 4yr,NNB,N/A,17,N/A,192300,N/A,16,12019,94
Western Washington University,WA,public 4yr,NNB,138,134,118980,190275,15,20,9514,15
McMurry University,TX,private 4yr,NB & NNB,15,4,230754,187472,23,14,13391,N/A
Saint Joseph's College,IN,private 4yr,NNB,7,10,166730,186257,6,6,31043,60
SUNY University at Binghamton,NY,public 4yr,NB & NNB,1453,1396,147110,186171,N/A,40,4654,3
Bethany College,WV,private 4yr,NNB,5,14,N/A,183495,N/A,13,14115,93
Nicholls State University,LA,public 4yr,NB & NNB,113,117,148769,182117,18,23,7918,20
John Carroll University,OH,private 4yr,NB & NNB,40,66,181800,N/A,12,N/A,15150,30
Shenandoah University,VA,private 4yr,NNB,92,101,N/A,181798,N/A,34,5347,34
Montana State University,MT,public 4yr,N/A,373,396,237083,181741,48,45,4039,11
Pitzer College,CA,private 4yr,NB,51,N/A,179771,N/A,3,N/A,59924,N/A
Lamar University,TX,public 4yr,NB & NNB,153,139,N/A,179040,N/A,30,5968,22
City University of New York: Baruch College,NY,public 4yr,NB & NNB,1667,1683,N/A,177790,N/A,28,6350,2
University of South Carolina: Upstate,SC,public 4yr,NNB,8,53,367888,177713,81,41,4334,77
Montana State University: Billings,MT,public 4yr,NB,109,124,N/A,175040,N/A,72,2431,58
SUNY University at Buffalo,NY,public 4yr,NB,3165,3189,173075,174800,23,23,7600,1
University of Maine,ME,public 4yr,NNB,218,206,37016,173868,28,33,5269,16
University of Illinois at Urbana-Champaign,IL,public 4yr,NNB,4629,4919,N/A,173628,N/A,53,3276,1
Southern Utah University,UT,public 4yr,NB & NNB,291,292,91641,172112,25,35,4917,12
Nebraska Wesleyan University,NE,private 4yr,NB & NNB,N/A,14,N/A,170370,N/A,9,18930,64
Bowie State University,MD,public 4yr,NB & NNB,37,N/A,169980,N/A,N/A,N/A,N/A,N/A
Aquinas College,MI,private 4yr,NNB,10,16,139500,164841,9,16,10302,100
Slippery Rock University of Pennsylvania,PA,public 4yr,NB & NNB,49,68,110981,164406,13,50,3288,74
Thomas Aquinas College,CA,private 4yr,NB,15,15,167970,164160,9,9,18240,60
Thomas More College,KY,private 4yr,NNB,8,7,N/A,162916,N/A,7,23274,100
Heritage University,WA,private 4yr,NB & NNB,2,8,161046,N/A,N/A,N/A,N/A,N/A
Kansas City Art Institute,MO,private 4yr,NNB,N/A,N/A,161000,N/A,7,N/A,23000,N/A
Armstrong State University,GA,public 4yr,NNB,110,118,161000,N/A,N/A,N/A,N/A,N/A
University of Texas at Brownsville,TX,public 4yr,NB & NNB,376,339,160685,N/A,27,N/A,5951,7
Western Nebraska Community College,NE,public 2yr,NNB,58,52,38279,160007,13,31,5161,60
University of Alabama in Huntsville,AL,public 4yr,NNB,182,181,62369,157935,N/A,18,8774,10
Marymount Manhattan College,NY,private 4yr,NNB,90,91,156728,157195,25,26,6046,29
Milwaukee Institute of Art & Design,WI,private 4yr,NNB,10,10,136499,156996,11,12,13083,N/A
Mansfield University of Pennsylvania,PA,public 4yr,NB & NNB,28,19,79372,156800,N/A,27,5807,N/A
Stephen F. Austin State University,TX,public 4yr,NB & NNB,83,71,134028,155600,108,129,1206,N/A
Bethel College,IN,private 4yr,NB & NNB,24,26,234000,155000,11,11,14090,42
Wisconsin Indianhead Technical College,WI,public 2yr,NNB,N/A,569,N/A,154081,N/A,323,477,57
Gallaudet University,DC,private 4yr,NB & NNB,75,82,N/A,153626,N/A,16,9602,20
Williams Baptist College,AR,private 4yr,NNB,13,10,188859,153077,N/A,15,10205,N/A
Rockford University,IL,private 4yr,NNB,13,6,209113,152066,18,11,13824,N/A
Fort Hays State University,KS,public 4yr,NNB,3462,3321,N/A,150610,N/A,142,1061,4
Point Loma Nazarene University,CA,private 4yr,NNB,4,14,149383,N/A,10,N/A,14938,N/A
"Vaughn College of Aeronautics and
Technology",NY,private 4yr,NNB,34,N/A,145170,N/A,20,N/A,7259,N/A
Keystone College,PA,private 4yr,NB & NNB,9,7,144675,144675,9,9,16075,N/A
St. Vincent College,PA,private 4yr,NNB,18,15,N/A,143710,N/A,10,14371,67
University of St. Francis,IN,private 4yr,NNB,8,12,N/A,142430,N/A,11,21654,92
Hope International University,CA,private 4yr,NB & NNB,5,3,174600,142325,5,9,15814,N/A
Mills College,CA,private 4yr,NB & NNB,14,12,138500,140483,9,9,15609,75
Western State Colorado University,CO,public 4yr,NNB,14,10,169595,137125,14,10,13713,100
William Paterson University of New Jersey,NJ,public 4yr,NNB,86,87,N/A,129524,N/A,32,4048,37
Elon University,NC,private 4yr,NNB,99,106,82500,129500,20,38,3408,36
Evergreen State College,WA,public 4yr,NNB,18,18,90580,128152,7,9,14239,50
University of Northern Colorado,CO,public 4yr,NB & NNB,111,111,N/A,123896,N/A,112,1106,N/A
Daemen College,NY,private 4yr,NNB,18,15,123583,N/A,N/A,N/A,N/A,N/A
Mary Baldwin College,VA,private 4yr,NNB,5,1,N/A,123157,N/A,11,11196,N/A
University of Central Florida,FL,public 4yr,NB & NNB,484,521,87000,122824,76,74,1660,14
Concordia University Wisconsin,WI,private 4yr,NB & NNB,51,56,143388,122656,21,24,5111,43
Thomas College,ME,private 4yr,NNB,27,28,N/A,121860,N/A,14,8704,50
Boise State University,ID,public 4yr,NNB,609,661,3381465,121356,263,57,2129,9
Laramie County Community College,WY,public 2yr,NNB,18,18,259464,121176,53,19,6378,N/A
Centenary College of Louisiana,LA,private 4yr,NNB,14,11,109856,120600,4,4,30150,36
Millikin University,IL,private 4yr,NNB,26,19,80003,120082,7,7,17155,37
University of Michigan: Flint,MI,public 4yr,NB & NNB,408,388,117402,119986,38,31,3871,8
Ferrum College,VA,private 4yr,NB & NNB,12,14,168601,119962,12,8,14995,57
Bismarck State College,ND,public 2yr,NNB,N/A,N/A,116875,N/A,17,N/A,6875,N/A
Benedictine University,IL,private 4yr,NB & NNB,30,56,38000,116052,6,34,3413,61
Avila University,MO,private 4yr,NNB,61,88,115445,N/A,15,N/A,7696,25
University of Illinois: Springfield,IL,public 4yr,NNB,86,104,158865,114875,30,26,4418,25
Doane College,NE,private 4yr,NNB,8,16,113000,113000,8,8,14125,50
Rochester College,MI,private 4yr,NNB,25,N/A,112772,N/A,20,N/A,5639,N/A
Bethel College,KS,private 4yr,NB & NNB,9,10,67650,112312,5,8,14090,80
University of California: Santa Cruz,CA,public 4yr,NB,165,352,112104,N/A,N/A,N/A,N/A,N/A
Emory & Henry College,VA,private 4yr,NNB,12,12,157500,112060,11,9,12451,75
Lake Region State College,ND,public 2yr,NB & NNB,35,N/A,111780,N/A,15,N/A,7452,N/A
University of Houston-Downtown,TX,public 4yr,NB & NNB,692,691,23690,111250,7,40,2781,6
Husson University,ME,private 4yr,NNB,75,63,5000,111151,1,17,6538,27
Holy Family University,PA,private 4yr,NB & NNB,10,6,199960,110124,7,3,36708,50
Kean University,NJ,public 4yr,NNB,142,148,113985,108496,15,15,7233,10
Minneapolis College of Art and Design,MN,private 4yr,NNB,N/A,22,108020,N/A,11,N/A,9820,N/A
University of Maine at Augusta,ME,public 4yr,NNB,16,19,105000,107275,8,7,15325,37
University of Mary,ND,private 4yr,NNB,36,23,N/A,107010,N/A,N/A,N/A,N/A
Mayville State University,ND,public 4yr,NNB,31,29,156519,106730,27,26,4105,90
College of Coastal Georgia,GA,public 4yr,NNB,29,33,N/A,106000,N/A,15,7067,45
Colorado Mesa University,CO,public 4yr,NB & NNB,42,50,52607,105963,8,16,6622,32
Chowan University,NC,private 4yr,NNB,16,N/A,102212,N/A,4,N/A,25553,N/A
University of Texas at San Antonio,TX,public 4yr,NB & NNB,1136,982,193757,101383,80,77,1317,8
Bob Jones University,SC,private 4yr,NB & NNB,144,144,29300,99300,6,24,4138,17
Florida College,FL,private 4yr,NB & NNB,7,9,37022,98553,2,5,19711,56
Moravian College,PA,private 4yr,NB & NNB,7,50,N/A,97300,N/A,6,16217,12
Wisconsin Lutheran College,WI,private 4yr,NNB,27,21,95750,N/A,23,N/A,4163,85
Regent University,VA,private 4yr,NB & NNB,18,14,114283,94631,14,11,8603,79
University of Mary Hardin-Baylor,TX,private 4yr,NNB,70,73,302192,94422,N/A,50,1888,68
Marlboro College,VT,private 4yr,NNB,N/A,3,N/A,92950,N/A,3,30983,100
Jefferson College,MO,public 2yr,NB & NNB,17,17,61311,92265,6,10,9227,59
Western Illinois University,IL,public 4yr,NB & NNB,159,212,111286,90333,25,22,4106,10
University of Puget Sound,WA,private 4yr,NNB,7,9,82700,89800,6,8,11225,89
Columbia International University,SC,private 4yr,NNB,20,21,89145,N/A,11,N/A,8104,55
Tennessee Wesleyan College,TN,private 4yr,NB & NNB,10,47,87263,N/A,11,N/A,7933,N/A
"St. Joseph's College New York: Suffolk
Campus",NY,private 4yr,NNB,N/A,N/A,107000,87250,9,6,14542,N/A
Walla Walla University,WA,private 4yr,NB & NNB,29,13,N/A,86027,N/A,17,5060,N/A
Martin Luther College,MN,private 4yr,NB & NNB,23,16,96765,85102,15,17,5006,N/A
Central Baptist College,AR,private 4yr,NB & NNB,21,25,84456,N/A,18,N/A,4692,86
Marywood University,PA,private 4yr,NNB,22,23,N/A,83674,N/A,8,10459,35
Wells College,NY,private 4yr,NNB,17,8,N/A,83000,N/A,5,16600,63
Cincinnati Christian University,OH,private 4yr,NNB,7,8,115776,82152,9,6,13692,75
Southern Virginia University,VA,private 4yr,NB & NNB,12,12,92925,81650,12,11,7423,92
Wright State University: Lake Campus,OH,public 2yr,NNB,9,17,N/A,81105,N/A,16,5069,94
Southern Oregon University,OR,public 4yr,NNB,118,105,N/A,79623,N/A,36,2212,34
William Woods University,MO,private 4yr,NNB,1,3,N/A,79010,N/A,3,26337,100
Wofford College,SC,private 4yr,NB & NNB,28,37,136335,78575,5,3,26192,8
Grove City College,PA,private 4yr,NB,19,17,86330,76925,12,12,6410,71
Ozark Christian College,MO,private 4yr,NNB,11,N/A,75798,N/A,18,N/A,4211,N/A
Lasell College,MA,private 4yr,NNB,52,66,75746,N/A,11,N/A,6886,21
Texas Lutheran University,TX,private 4yr,NB & NNB,2,1,N/A,75706,N/A,4,18927,N/A
Concordia University Texas,TX,private 4yr,NNB,11,N/A,74561,N/A,8,N/A,9320,N/A
Mount St. Joseph University,OH,private 4yr,NNB,4,5,71781,72942,3,3,24314,60
Lake Erie College,OH,private 4yr,NNB,37,24,N/A,72747,N/A,3,24249,13
Alvernia University,PA,private 4yr,NNB,4,5,72459,N/A,3,N/A,24153,75
Louisiana State University at Alexandria,LA,public 4yr,NNB,N/A,19,N/A,72154,N/A,26,2775,N/A
Lincoln Christian University,IL,private 4yr,NNB,1,10,40830,71662,4,9,7962,90
Northern Michigan University,MI,public 4yr,NNB,74,N/A,71350,N/A,49,N/A,1456,N/A
Emmanuel College,MA,private 4yr,NNB,26,29,40000,71318,4,10,7132,34
Hampton University,VA,private 4yr,NB & NNB,51,34,55696,71000,2,3,23667,9
Delaware Valley College,PA,private 4yr,NNB,5,10,35000,71000,4,5,14200,50
Kentucky Christian University,KY,private 4yr,NNB,4,11,70045,N/A,7,N/A,10006,N/A
Indiana University South Bend,IN,public 4yr,NNB,114,138,130898,69931,24,25,2797,18
University of Pittsburgh at Johnstown,PA,public 4yr,NNB,68,N/A,68678,N/A,N/A,N/A,N/A,N/A
Massachusetts Bay Community College,MA,public 2yr,NB,96,107,67150,N/A,2686,N/A,25,N/A
University of Valley Forge,PA,private 4yr,NB & NNB,1,3,N/A,66974,N/A,3,22325,100
"New Mexico Institute of Mining and
Technology",NM,public 4yr,NNB,44,54,66800,N/A,5,N/A,13360,11
San Jacinto College,TX,public 2yr,NB,389,350,66800,N/A,93,N/A,718,24
Evangel University,MO,private 4yr,NNB,13,10,124579,64639,11,12,5387,N/A
Rosemont College,PA,private 4yr,NB & NNB,8,5,36250,64000,N/A,5,12800,100
University of Texas of the Permian Basin,TX,public 4yr,NB & NNB,33,44,62900,N/A,N/A,N/A,N/A,N/A
Belmont Abbey College,NC,private 4yr,NNB,35,21,61659,N/A,17,N/A,3627,49
University of Maine at Presque Isle,ME,public 4yr,NNB,76,68,61128,N/A,24,N/A,2547,32
Molloy College,NY,private 4yr,NNB,6,8,60830,N/A,4,N/A,15208,67
University of Redlands,CA,private 4yr,NNB,24,38,60000,N/A,4,N/A,15000,17
Concordia University Chicago,IL,private 4yr,NNB,11,N/A,60000,N/A,8,N/A,7500,N/A
Clarke University,IA,private 4yr,NNB,15,13,N/A,58610,N/A,5,11722,38
Judson College,AL,private 4yr,NB,3,5,58054,N/A,2,N/A,29027,67
LaGrange College,GA,private 4yr,NNB,5,5,120080,55612,8,3,18537,60
SUNY College at Fredonia,NY,public 4yr,NNB,144,149,70000,55000,14,12,4583,8
Quincy University,IL,private 4yr,NNB,5,6,92500,54800,3,4,13700,67
University of Southern Maine,ME,public 4yr,NNB,56,59,53530,N/A,10,N/A,5353,18
University of St. Mary,KS,private 4yr,NB & NNB,5,7,53000,N/A,4,N/A,13250,80
Cochise College,AZ,public 2yr,NNB,15,15,14727,52726,N/A,7,7532,47
Ranger College,TX,public 2yr,NB,N/A,N/A,52500,N/A,15,N/A,3500,N/A
East Texas Baptist University,TX,private 4yr,NNB,11,20,27650,52465,10,11,4770,55
Shepherd University,WV,public 4yr,NNB,13,15,27008,51960,4,N/A,8660,31
Elms College,MA,private 4yr,NNB,10,15,22045,51728,5,8,6466,53
"Oklahoma State University Institute of
Technology: Okmulgee",OK,public 2yr,NNB,29,15,51200,N/A,16,N/A,3200,55
Georgetown College,KY,private 4yr,NB & NNB,19,18,N/A,50600,N/A,4,12650,22
University of the West,CA,private 4yr,NB & NNB,27,31,N/A,48828,N/A,13,3756,42
William Jessup University,CA,private 4yr,NB & NNB,3,3,14852,45595,3,3,15198,100
King's College,PA,private 4yr,NNB,3,13,45000,N/A,3,N/A,15000,100
Shimer College,IL,private 4yr,NNB,N/A,N/A,N/A,45000,N/A,3,15000,N/A
SUNY College at Brockport,NY,public 4yr,NNB,53,112,25070,44620,4,10,4462,9
Providence Christian College,CA,private 4yr,NB & NNB,3,8,44500,N/A,3,N/A,14833,100
Brevard College,NC,private 4yr,NB & NNB,43,45,44214,43975,3,2,21988,4
Missouri Southern State University,MO,public 4yr,NNB,104,123,136576,43277,22,14,3091,11
Thomas More College of Liberal Arts,NH,private 4yr,NB & NNB,N/A,N/A,43000,N/A,4,N/A,10750,N/A
Eureka College,IL,private 4yr,NNB,N/A,5,N/A,42710,N/A,5,8542,100
Purdue University Calumet,IN,public 4yr,NNB,434,494,5752,41595,4,6,6933,1
Sterling College,KS,private 4yr,NB & NNB,3,1,52149,41388,3,4,10347,N/A
Northwest Christian University,OR,private 4yr,NNB,N/A,N/A,42300,40500,2,4,10125,N/A
Warner Pacific College,OR,private 4yr,NNB,N/A,8,63500,40445,7,7,5778,88
Lebanon Valley College,PA,private 4yr,NNB,1,3,52533,39471,N/A,3,13157,100
Rockhurst University,MO,private 4yr,NNB,24,23,835016,39100,37,2,19550,9
University of Texas at Tyler,TX,public 4yr,NNB,69,107,38697,N/A,18,N/A,2150,26
Dakota State University,SD,public 4yr,NNB,24,23,19586,37626,9,8,4703,35
St. John Fisher College,NY,private 4yr,NNB,6,10,5000,37535,2,5,7507,50
Central College,IA,private 4yr,NNB,5,3,90700,37100,5,3,12367,100
University of Houston-Clear Lake,TX,public 4yr,NB & NNB,79,93,89734,36909,20,25,1476,27
LIM College,NY,for-profit 4yr,NB & NNB,41,49,N/A,35737,N/A,9,3971,18
Eastern Connecticut State University,CT,public 4yr,NNB,55,55,35295,N/A,N/A,N/A,N/A,N/A
Northern State University,SD,public 4yr,NNB,66,72,N/A,35250,N/A,16,2203,22
Kentucky Mountain Bible College,KY,private 4yr,NB & NNB,7,6,12600,34644,2,7,4949,N/A
Naropa University,CO,private 4yr,NB,11,13,41025,34189,3,3,11396,23
Huntingdon College,AL,private 4yr,NNB,3,7,70750,33925,N/A,3,11308,43
Life University,GA,private 4yr,NB & NNB,28,18,32400,N/A,9,N/A,3600,32
Toccoa Falls College,GA,private 4yr,NB & NNB,19,11,32228,N/A,4,N/A,8057,21
University of Wisconsin-Parkside,WI,public 4yr,NNB,78,75,10752,32227,6,N/A,2479,8
West Chester University of Pennsylvania,PA,public 4yr,NB & NNB,43,41,12500,31092,15,11,2827,27
Ramapo College of New Jersey,NJ,public 4yr,NNB,48,60,8198,28712,9,25,1148,42
Black Hawk College,IL,public 2yr,NB & NNB,22,12,9403,28569,10,16,1786,N/A
Spring Hill College,AL,private 4yr,NNB,17,27,395388,28524,14,1,28524,4
University of Maine at Machias,ME,public 4yr,NNB,7,9,34350,28100,6,4,7025,44
Prescott College,AZ,private 4yr,NNB,6,4,32150,28000,N/A,4,7000,100
DeSales University,PA,private 4yr,NNB,N/A,N/A,N/A,28000,N/A,3,9333,N/A
Eastern New Mexico University: Roswell,NM,public 2yr,NNB,56,50,1378,27518,1,10,2752,20
Plymouth State University,NH,public 4yr,NNB,48,60,40750,27500,N/A,13,2115,22
Alverno College,WI,private 4yr,NNB,12,9,66682,27315,11,9,3035,100
Westminster College,PA,private 4yr,NNB,3,3,27000,27000,3,3,13219,100
Cedar Crest College,PA,private 4yr,NB & NNB,17,31,21500,26660,2,2,13330,6
Eastern Kentucky University,KY,public 4yr,NNB,N/A,228,N/A,25003,N/A,11,2273,5
Salisbury University,MD,public 4yr,NNB,84,104,11000,24750,4,8,3094,8
Davis College,NY,private 4yr,NB,N/A,N/A,24450,N/A,N/A,N/A,N/A,N/A
Mount Wachusett Community College,MA,public 2yr,NB & NNB,30,17,22280,23988,4,4,5997,24
"SUNY College of Environmental Science and
Forestry",NY,public 4yr,NNB,27,35,14500,23250,5,5,4650,14
St. Mary's College of Maryland,MD,public 4yr,NNB,26,20,88048,23190,21,2,11595,10
Aurora University,IL,private 4yr,NNB,7,5,N/A,23000,N/A,3,7667,60
Gwynedd Mercy University,PA,private 4yr,NB & NNB,7,3,50625,21500,3,2,10750,67
Saint Martin's University,WA,private 4yr,NNB,70,81,21000,N/A,5,N/A,4200,7
Benjamin Franklin Institute of Technology,MA,private 2yr,NNB,5,4,20970,N/A,6,N/A,3495,N/A
New York School of Interior Design,NY,private 4yr,NNB,7,54,39000,20500,4,4,5125,7
Clearwater Christian College,FL,private 4yr,NNB,5,5,N/A,20000,N/A,6,3333,N/A
Cazenovia College,NY,private 4yr,NB & NNB,N/A,N/A,20000,20000,2,2,10000,N/A
Mount Mary University,WI,private 4yr,NNB,4,2,34660,19162,5,2,9581,100
Angelo State University,TX,public 4yr,NB,156,175,N/A,18900,N/A,4,4725,2
Jewish Theological Seminary of America,NY,private 4yr,NNB,5,4,18810,N/A,1,N/A,18810,20
University of Pittsburgh at Greensburg,PA,public 4yr,NNB,24,15,18500,N/A,2,N/A,9250,8
Central Wyoming College,WY,public 2yr,NNB,9,8,15691,18112,7,4,4528,50
Kentucky State University,KY,public 4yr,NNB,7,5,N/A,16322,N/A,2,8161,40
Metropolitan College of New York,NY,private 4yr,NNB,27,21,18850,16050,11,10,1605,48
University of Maine at Farmington,ME,public 4yr,NNB,5,4,15700,15700,4,4,3925,100
Keene State College,NH,public 4yr,NNB,N/A,2,13800,14786,3,2,7393,100
"Rutgers, The State University of New Jersey:
New Brunswick/Piscataway Campus",NJ,public 4yr,NNB,1263,1892,N/A,14239,N/A,5,2848,N/A
University of Montana: Western,MT,public 4yr,NB & NNB,1,N/A,14138,N/A,1,N/A,14138,N/A
Hilbert College,NY,private 4yr,NB & NNB,7,5,N/A,14100,N/A,4,3525,80
VanderCook College of Music,IL,private 4yr,NB & NNB,3,2,30184,14100,4,3,4700,N/A
Eastern New Mexico University,NM,public 4yr,NNB,118,93,N/A,13315,N/A,10,1332,11
University of Minnesota: Morris,MN,public 4yr,NNB,173,173,4500,12400,3,6,2067,3
Blue Mountain College,MS,private 4yr,NNB,8,8,12110,N/A,1,N/A,12110,13
University of Nebraska - Omaha,NE,public 4yr,NNB,384,382,34398,12032,23,8,1504,2
Southwest Minnesota State University,MN,public 4yr,NNB,78,82,15935,11925,13,12,994,15
"University of North Carolina School of the
Arts",NC,public 4yr,NB & NNB,11,15,28314,11895,5,5,2379,33
"South Dakota School of Mines and
Technology",SD,public 4yr,NNB,44,52,N/A,11600,N/A,10,1160,19
Cedarville University,OH,private 4yr,NB & NNB,44,49,11220,N/A,34,N/A,22183,77
"Calvary Bible College and Theological
Seminary",MO,private 4yr,NNB,2,1,N/A,11118,N/A,2,5559,N/A
College of DuPage,IL,public 2yr,NB & NNB,215,238,N/A,10882,N/A,10,1088,4
Rocky Mountain College of Art & Design,CO,for-profit 4yr,NNB,3,N/A,10600,N/A,2,N/A,5300,N/A
American Public University System,WV,for-profit 4yr,NNB,316,321,N/A,10465,N/A,14,748,4
Indiana University Southeast,IN,public 4yr,NNB,19,21,3500,10450,2,11,950,52
Harford Community College,MD,public 2yr,NB,34,59,8675,10408,N/A,10,1041,17
Heidelberg University,OH,private 4yr,NNB,2,3,N/A,10000,N/A,N/A,N/A,N/A
Multnomah University,OR,private 4yr,NB & NNB,2,N/A,9360,N/A,N/A,N/A,N/A,N/A
Mid-Atlantic Christian University,NC,private 4yr,NB & NNB,N/A,3,9264,N/A,1,N/A,9264,N/A
Adventist University of Health Sciences,FL,private 4yr,NB & NNB,10,7,16690,9105,111,6,1518,86
University of Tennessee: Chattanooga,TN,public 4yr,NNB,68,63,950,8850,2,5,1770,8
Grambling State University,LA,public 4yr,NNB,207,N/A,8000,N/A,3,N/A,2667,N/A
Wichita State University,KS,public 4yr,NNB,628,708,9504,7750,11,7,1107,1
The College of New Jersey,NJ,public 4yr,NNB,15,13,N/A,7500,N/A,3,2500,23
South Suburban College of Cook County,IL,public 2yr,NB & NNB,N/A,N/A,7200,7200,5,5,1440,N/A
Oakland Community College,MI,public 2yr,NNB,564,N/A,7001,N/A,12,N/A,583,N/A
Piedmont International University,NC,private 4yr,NNB,N/A,N/A,6466,N/A,2,N/A,3233,N/A
MacMurray College,IL,private 4yr,NNB,N/A,N/A,6000,N/A,1,N/A,6000,N/A
Lackawanna College,PA,private 2yr,NNB,4,3,15000,6000,5,2,3000,67
American Academy of Dramatic Arts: West,CA,private 2yr,NNB,58,63,N/A,6000,N/A,100,60,N/A
Indiana University East,IN,public 4yr,N/A,13,20,N/A,5591,N/A,2,2795,10
Trinity College of Florida,FL,private 4yr,NB & NNB,5,5,N/A,5500,N/A,2,2750,40
Alice Lloyd College,KY,private 4yr,NNB,3,N/A,4640,N/A,3,N/A,1547,N/A
University of Minnesota: Crookston,MN,public 4yr,NNB,108,75,N/A,4500,N/A,3,1500,4
"Embry-Riddle Aeronautical University:
Prescott Campus",AZ,private 4yr,NB & NNB,154,195,18000,4250,6,2,2125,1
Northwestern College,IL,for-profit 2yr,NNB,N/A,1,N/A,4020,N/A,1,22160,100
Florida SouthWestern State College,FL,public 2yr,NNB,N/A,304,N/A,4000,N/A,2,2000,1
