institution,state,type,fa_policy,applicants_2013-14,applicants_2014-15,fa_2013-14,fa_2014-15,admitted_2013-14,admitted_2014-15,fa_average,percentage
Minnesota State University Moorhead,MN,public 4yr,NNB,409,399,2814384,3076508,408,446,6898,N/A
Hofstra University,NY,private 4yr,NNB,185,252,2299853,3076349,109,131,23484,52
Robert Morris University,PA,private 4yr,NNB,348,477,3017168,3065710,124,129,23766,27
Brandeis University,MA,private 4yr,NB & NNB,534,664,3420100,2990061,100,85,35177,13
Ohio Wesleyan University,OH,private 4yr,NB & NNB,136,121,3156445,2970289,131,133,22333,N/A
University of San Francisco,CA,private 4yr,NNB,1145,1279,N/A,2927018,N/A,99,29566,8
College of St. Scholastica,MN,private 4yr,NB,116,117,2725854,2886600,113,111,26005,95
Connecticut College,CT,private 4yr,NB,94,100,2825226,2881765,60,61,47242,61
Juilliard School,NY,private 4yr,NB & NNB,124,131,2648350,2876168,110,110,26147,84
School of Visual Arts,NY,for-profit 4yr,NNB,978,1154,2677370,2802184,281,287,9764,25
School of the Art Institute of Chicago,IL,private 4yr,NNB,702,850,2053808,2737640,492,616,4444,72
University of Texas at Arlington,TX,public 4yr,NB & NNB,993,1454,3235896,2735337,683,587,4660,40
"Columbia University: School of General
Studies",NY,private 4yr,NB & NNB,302,273,2380874,2717036,199,204,13319,75
University of New Orleans,LA,public 4yr,NB & NNB,217,245,1909049,2706102,124,156,17347,64
New Mexico State University,NM,public 4yr,NNB,536,550,2805408,2704921,204,185,14621,34
Carleton College,MN,private 4yr,NB,172,189,2434600,2641538,70,73,36185,39
Lehigh University,PA,private 4yr,NB & NNB,334,376,2626182,2594116,N/A,74,35056,20
Rollins College,FL,private 4yr,NNB,124,158,1988966,2581767,83,101,25562,64
Northwestern University,IL,private 4yr,NB,609,681,1971637,2577777,46,61,42259,9
Davidson College,NC,private 4yr,NB & NNB,95,100,2039306,2563856,52,57,44980,57
University of Bridgeport,CT,private 4yr,NB & NNB,391,447,2559698,N/A,253,N/A,10117,65
Swarthmore College,PA,private 4yr,NB,130,150,2443433,2551740,51,53,48146,35
Reed College,OR,private 4yr,NB,82,98,2231449,2535260,45,50,50705,51
John Brown University,AR,private 4yr,NB & NNB,118,100,2387170,2508380,115,115,21812,N/A
University of Indianapolis,IN,private 4yr,NNB,310,345,2289942,2489653,N/A,167,14908,48
Wheaton College,MA,private 4yr,NB & NNB,150,154,2654014,2486582,121,125,19893,81
Dordt College,IA,private 4yr,NB & NNB,113,115,2484000,N/A,138,N/A,18000,N/A
University of Texas at Dallas,TX,public 4yr,NNB,559,502,1808210,2466310,200,258,9559,51
Gordon College,MA,private 4yr,NB & NNB,82,111,1918390,2428333,82,111,21877,100
Seattle University,WA,private 4yr,NB & NNB,474,477,1850332,2386599,N/A,158,15105,33
Bryant University,RI,private 4yr,NNB,233,268,2012840,2373906,106,123,19300,46
College of the Atlantic,ME,private 4yr,NB & NNB,56,59,2273260,2350975,55,58,40534,98
Ithaca College,NY,private 4yr,NB & NNB,118,103,2660088,2337428,99,87,26867,84
Northwest University,WA,private 4yr,NB & NNB,27,29,N/A,2308614,N/A,180,12826,N/A
Fairfield University,CT,private 4yr,NNB,65,90,2160094,2285683,54,56,40816,62
Texas Tech University,TX,public 4yr,NB & NNB,983,1148,N/A,2273596,N/A,443,5132,39
Principia College,IL,private 4yr,NB & NNB,79,90,2251632,N/A,74,N/A,30427,94
Kenyon College,OH,private 4yr,NB & NNB,74,73,2283684,2226768,52,48,46391,66
University of Portland,OR,private 4yr,NNB,100,109,1705600,2224631,64,77,28891,71
University of Alabama,AL,public 4yr,NNB,797,799,N/A,2217072,N/A,122,18173,15
University of South Florida,FL,public 4yr,NNB,962,1277,N/A,2195555,N/A,238,9225,19
Kalamazoo College,MI,private 4yr,NB & NNB,99,92,2622457,2195427,99,92,23863,100
New Jersey Institute of Technology,NJ,public 4yr,NB & NNB,294,319,3386552,2192039,164,87,25196,27
Brigham Young University,UT,private 4yr,NB & NNB,833,854,N/A,2182017,N/A,428,5098,50
Adelphi University,NY,private 4yr,NNB,198,193,1763433,2181820,123,145,15047,75
Bentley University,MA,private 4yr,NNB,606,620,N/A,2152286,N/A,119,18086,19
Rice University,TX,private 4yr,NB & NNB,449,458,N/A,2139931,N/A,83,25782,18
University of Texas at Austin,TX,public 4yr,NB & NNB,1828,1820,2089420,2137441,403,360,5937,20
Tulane University,LA,private 4yr,NB & NNB,252,228,2560962,2136255,132,107,19965,47
Miami University: Oxford,OH,public 4yr,NNB,992,1158,1608688,2123513,232,287,7399,25
Hobart and William Smith Colleges,NY,private 4yr,NB & NNB,108,119,2419025,2100843,96,81,25936,68
University of Vermont,VT,public 4yr,NNB,201,268,1855000,2096734,106,116,18075,43
University of California: Los Angeles,CA,public 4yr,NB,3370,3730,N/A,2093538,N/A,74,28291,2
San Jose State University,CA,public 4yr,NB & NNB,1244,1458,794526,2057001,120,240,8571,16
Villanova University,PA,private 4yr,NB & NNB,118,118,2070030,2046865,N/A,54,37904,46
Westminster College,MO,private 4yr,NB & NNB,177,153,N/A,2022537,N/A,153,13219,100
University of Hartford,CT,private 4yr,NNB,268,284,2017698,N/A,115,N/A,17545,43
Duquesne University,PA,private 4yr,NNB,230,251,1948805,1996130,N/A,101,19763,40
University of Montana,MT,public 4yr,NB & NNB,225,273,1969813,N/A,373,N/A,5281,N/A
College of St. Benedict,MN,private 4yr,NB & NNB,115,92,2059790,1953707,95,81,24120,88
Rochester Institute of Technology,NY,private 4yr,NB & NNB,642,718,1950000,N/A,200,N/A,13000,31
University of Texas at El Paso,TX,public 4yr,NB & NNB,954,980,1936476,N/A,285,N/A,6795,30
Park University,MO,private 4yr,NB & NNB,247,108,N/A,1934638,N/A,220,8794,N/A
Iowa State University,IA,public 4yr,NB & NNB,1843,1992,900936,1933700,207,305,6340,15
Pomona College,CA,private 4yr,NB,110,146,1734580,1921001,41,42,45738,29
Juniata College,PA,private 4yr,NB & NNB,114,123,1739725,1920033,104,111,17298,90
Drake University,IA,private 4yr,NB & NNB,230,241,1806621,1912413,169,180,10625,75
Oklahoma Christian University,OK,private 4yr,NNB,208,196,2125827,1853700,197,185,10020,94
Webber International University,FL,private 4yr,NB & NNB,53,161,N/A,1843167,N/A,144,12800,89
Ringling College of Art and Design,FL,private 4yr,NB & NNB,159,191,988464,1841008,N/A,64,28766,34
Beloit College,WI,private 4yr,NB & NNB,105,107,N/A,1831238,N/A,101,18131,94
Messiah College,PA,private 4yr,NB & NNB,66,84,1399662,1825897,66,84,21737,100
Queens University of Charlotte,NC,private 4yr,NNB,97,106,N/A,1824921,N/A,90,20277,85
Gettysburg College,PA,private 4yr,NB,62,92,1571220,1818280,35,66,27549,72
Loyola University Chicago,IL,private 4yr,NNB,298,353,N/A,1808071,N/A,138,13102,39
Southern Illinois University Carbondale,IL,public 4yr,NB & NNB,418,459,1792483,1799853,97,97,18555,21
Chapman University,CA,private 4yr,NNB,226,245,N/A,1798174,N/A,92,19545,38
Augustana College,SD,private 4yr,NB & NNB,102,110,1723400,1781346,N/A,147,12118,N/A
Bowdoin College,ME,private 4yr,NB,88,93,1291170,1780266,30,41,43421,44
Fordham University,NY,private 4yr,NNB,455,547,N/A,1767530,N/A,52,33991,10
University of Alaska Anchorage,AK,public 4yr,NB & NNB,241,233,N/A,1766336,N/A,99,17842,42
Loyola Marymount University,CA,private 4yr,NNB,319,417,1488464,1749068,97,120,14576,29
James Madison University,VA,public 4yr,NB & NNB,354,348,1946879,1738163,101,91,19101,26
University of Arizona,AZ,public 4yr,NB & NNB,1728,1875,1813266,1735979,162,141,12312,8
Graceland University,IA,private 4yr,NNB,96,84,N/A,1732900,N/A,100,17329,N/A
University of Detroit Mercy,MI,private 4yr,NB & NNB,170,149,2780217,1723712,134,131,13158,88
Gannon University,PA,private 4yr,NNB,184,225,1712128,1716817,88,83,20685,37
Elmira College,NY,private 4yr,NB & NNB,42,63,1717350,1705750,N/A,N/A,N/A,N/A
Taylor University,IN,private 4yr,NNB,71,85,1374058,1699604,N/A,84,20233,99
University of Tampa,FL,private 4yr,NNB,673,702,1565834,1699000,295,446,3809,64
St. John's College,NM,private 4yr,NB & NNB,52,54,2102751,1674274,48,57,29373,N/A
University of New Hampshire,NH,public 4yr,NNB,142,230,1711407,1668596,57,58,28769,25
Valparaiso University,IN,private 4yr,NNB,265,253,786462,1652780,82,126,13117,50
SUNY College at Plattsburgh,NY,public 4yr,NB & NNB,315,319,1529520,1645284,N/A,349,4714,N/A
Elizabethtown College,PA,private 4yr,NB & NNB,57,62,1600900,1641500,N/A,N/A,N/A,N/A
St. John's University,MN,private 4yr,NB & NNB,98,100,1758080,1631375,80,89,21401,89
Randolph College,VA,private 4yr,NNB,71,67,N/A,1630138,N/A,67,24330,100
University of Hawaii at Manoa,HI,public 4yr,NB & NNB,336,346,3471247,1627993,162,141,11546,41
Northwood University: Florida,FL,private 4yr,N/A,174,182,1627779,N/A,135,N/A,12058,78
Gustavus Adolphus College,MN,private 4yr,NB & NNB,65,66,1528626,1627600,57,65,25040,98
Mercer University,GA,private 4yr,NNB,103,96,2170501,1619543,82,69,23472,72
Menlo College,CA,private 4yr,NNB,96,103,1510897,1615442,91,99,16318,96
Wabash College,IN,private 4yr,NB & NNB,60,65,1689078,1614011,N/A,58,27827,89
University of the Incarnate Word,TX,private 4yr,NNB,216,261,1930820,1610336,181,149,10808,57
Limestone College,SC,private 4yr,NB & NNB,99,103,1610147,N/A,134,N/A,12016,N/A
Babson College,MA,private 4yr,NB & NNB,555,565,N/A,1602965,N/A,65,24661,12
Southeast Missouri State University,MO,public 4yr,NNB,604,631,1574384,1601945,438,463,3460,73
Saint Peter's University,NJ,private 4yr,NNB,51,51,1593285,N/A,48,N/A,33193,94
University of Memphis,TN,public 4yr,NNB,135,148,1648530,1582830,78,86,18405,58
California Lutheran University,CA,private 4yr,NB & NNB,110,119,1384366,1553285,93,98,15850,82
St. Edward's University,TX,private 4yr,NNB,336,345,1667908,1538114,90,80,19226,23
Florida Southern College,FL,private 4yr,NNB,125,108,1810232,1534410,106,91,16862,84
St. John's College,MD,private 4yr,NB & NNB,48,43,1532000,1532000,45,45,29373,N/A
Middle Tennessee State University,TN,public 4yr,NB & NNB,301,420,950208,1531632,48,102,15016,24
Utica College,NY,private 4yr,NB & NNB,70,88,1159663,1529612,59,69,22168,78
Western Kentucky University,KY,public 4yr,NNB,798,967,1174059,1521165,97,114,13344,12
Pepperdine University,CA,private 4yr,NNB,308,305,1516137,1517994,69,66,23000,22
Adrian College,MI,private 4yr,NB & NNB,1,1,1307100,1507305,75,69,21845,N/A
Merrimack College,MA,private 4yr,NNB,164,175,1364701,1497076,113,116,12906,66
Iona College,NY,private 4yr,NNB,66,73,1189056,1477146,54,58,25468,79
Agnes Scott College,GA,private 4yr,NB & NNB,87,72,1532597,1446696,86,72,20093,100
North Carolina State University,NC,public 4yr,NNB,615,750,1158887,1444272,104,134,10778,18
American International College,MA,private 4yr,NNB,14,4,1842359,1443455,N/A,41,35206,N/A
University of Arkansas,AR,public 4yr,NNB,574,598,1409932,N/A,165,N/A,8545,29
Washington College,MD,private 4yr,NNB,73,106,1201205,1408820,68,79,17833,75
Wentworth Institute of Technology,MA,private 4yr,NNB,241,268,N/A,1407000,N/A,156,9019,58
Cornell College,IA,private 4yr,NB & NNB,64,48,1404019,N/A,57,N/A,24632,89
Hendrix College,AR,private 4yr,NNB,52,54,1670659,1402039,N/A,54,25964,100
University of Michigan: Dearborn,MI,public 4yr,NNB,87,100,N/A,1388629,N/A,136,10210,N/A
Wesleyan College,GA,private 4yr,NNB,135,134,1435718,1384268,121,118,11731,88
Whitman College,WA,private 4yr,NB & NNB,53,57,1262522,1378904,34,34,40556,60
Hartwick College,NY,private 4yr,NB & NNB,51,52,1340418,1371612,N/A,44,31173,85
Claflin University,SC,private 4yr,NNB,62,66,1356900,N/A,68,N/A,19954,N/A
Linfield College,OR,private 4yr,NB & NNB,61,61,1358546,1350100,61,60,22502,98
Kutztown University of Pennsylvania,PA,public 4yr,NB,73,82,550545,1348389,52,63,21403,77
